AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class,Timestamp,Classe
0.26891437,-0.7614647,0.76237965,-0.04138612,0.15882497,-0.33177617,SLOW,3583044,2
-2.0386841,1.2189668,0.8400688,0.028252518,0.028099801,0.11537717,SLOW,3583045,2
-0.03454995,-0.10912155,-0.105033875,0.059406646,0.0061086523,0.19662225,SLOW,3583045,2
-0.3226254,-0.3462356,0.27464676,0.08017606,-0.013439035,0.33589953,SLOW,3583046,2
0.34433484,-0.1290273,0.52448654,0.04596761,-0.03970624,0.34811684,SLOW,3583046,2
-0.696713,-0.9560374,0.5240116,0.06246097,-0.12889257,0.2784782,SLOW,3583047,2
-0.62867975,0.20788682,-0.061346054,0.059406646,0.09590584,0.18990274,SLOW,3583047,2
-0.20441616,0.3662517,0.8682909,0.09239337,-0.029321533,0.17890716,SLOW,3583048,2
0.4725604,-0.5226371,-0.44400406,0.09972375,0.086132,-0.047112983,SLOW,3583048,2
1.5028293,-1.5785582,-2.3963938,-0.027947085,0.12889257,-0.21754439,SLOW,3583049,2
0.65659857,-1.0982938,-0.8483734,0.010537425,0.13622294,-0.11980595,SLOW,3583050,2
1.2357523,-0.68819076,-0.47409916,-0.016340645,0.06047566,-0.094149604,SLOW,3583050,2
0.85084426,-0.3950643,-0.3611498,-0.0364992,-0.15271631,-0.10086913,SLOW,3583051,2
-0.4337287,-1.2125113,0.10484505,-0.010231993,0.04886922,0.030466905,SLOW,3583051,2
0.9247714,-0.33397043,0.81051445,0.061239243,0.03726278,0.0622319,SLOW,3583052,2
-0.10291326,-0.37862086,0.9426136,-0.015118915,-0.009773844,0.0066431593,SLOW,3583052,2
0.1265266,-1.113726,-0.7479515,0.02031127,0.10445796,0.032910366,SLOW,3583053,2
-0.17876494,-0.7462567,-0.08961201,0.019700404,-0.007330383,0.013362677,SLOW,3583053,2
0.093723536,-0.38348776,0.03371811,0.03436117,-0.036651913,-0.014126259,SLOW,3583054,2
-0.025535226,0.1222612,-0.8443556,-0.010231993,-0.02443461,0.0463494,SLOW,3583054,2
-0.4336443,-0.14790285,-0.32722473,0.12843442,0.00061086525,0.1764637,SLOW,3583055,2
